DEBT SNOWBALL TRACKER,,,,,,,,
"Pay off smallest balance first for quick wins!",,,,,,,,
,,,,,,,,
#,Creditor,Current Balance,Interest Rate %,Minimum Payment,Extra Payment,Total Payment,Payoff Priority,Estimated Payoff Date
1,Credit Card (Store),450.00,24.99,25.00,50.00,"=E2+F2",1,"=IF(G2>0,TODAY()+C2/G2*30,"""")"
2,Credit Card (Visa),1200.00,19.99,35.00,0.00,"=E3+F3",2,"=IF(G3>0,TODAY()+C3/G3*30,"""")"
3,Student Loan,5500.00,5.50,150.00,0.00,"=E4+F4",3,"=IF(G4>0,TODAY()+C4/G4*30,"""")"
4,Car Loan,8200.00,4.25,275.00,0.00,"=E5+F5",4,"=IF(G5>0,TODAY()+C5/G5*30,"""")"
5,Personal Loan,3000.00,8.00,100.00,0.00,"=E6+F6",5,"=IF(G6>0,TODAY()+C6/G6*30,"""")"
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
,,,,,,,,
DEBT SUMMARY,,,,,,,,
Total Debt:,"=SUM(C2:C20)",,,,,,,
Total Minimum Payments:,"=SUM(E2:E20)",,,,,,,
Total Extra Payments:,"=SUM(F2:F20)",,,,,,,
Total Monthly Payments:,"=SUM(G2:G20)",,,,,,,
Highest Interest Rate:,"=MAX(D2:D20)",,,,,,,
Number of Debts:,"=COUNTA(B2:B20)",,,,,,,
,,,,,,,,
SNOWBALL STRATEGY,,,,,,,,
"How it works: Pay minimums on everything. Put ALL extra money toward Debt #1.",,,,,,,,
"When Debt #1 is paid off, roll that payment into Debt #2, and so on.",,,,,,,,
,,,,,,,,
Step,Action,Amount,,,,,,
1,"Pay minimums on all debts","=B14",,,,,,,
2,"Extra payment to smallest balance (Debt #1)","=F2",,,,,,,
3,"When #1 is paid off, add its payment to #2","=G2+E3",,,,,,,
4,"When #2 is paid off, add its payment to #3","=G2+G3+E4",,,,,,,
,,,,,,,,
DEBT PAYOFF PROGRESS,,,,,,,,
Creditor,Original Balance,Current Balance,Paid Off,% Paid,,,,
"=B2","=C2","=C2","=C31-C2","=IF(B31>0,(B31-C31)/B31*100,0)",,,,
"=B3","=C3","=C3","=C32-C3","=IF(B32>0,(B32-C32)/B32*100,0)",,,,
"=B4","=C4","=C4","=C33-C4","=IF(B33>0,(B33-C33)/B33*100,0)",,,,
"=B5","=C5","=C5","=C34-C5","=IF(B34>0,(B34-C34)/B34*100,0)",,,,
"=B6","=C6","=C6","=C35-C6","=IF(B35>0,(B35-C35)/B35*100,0)",,,,
