MONTHLY BUDGET PLANNER,,,,,,
,,,,,,
INCOME PROJECTION,,,,,,
Source,Expected Amount,Actual Amount,Difference,Status,,
Client Work - Retainer,1800.00,,"=C5-B5","=IF(C5>=B5,""On Track"",""Under"")",,
Client Work - Projects,2500.00,,"=C6-B6","=IF(C6>=B6,""On Track"",""Under"")",,
Freelance Platform,800.00,,"=C7-B7","=IF(C7>=B7,""On Track"",""Under"")",,
Side Hustle,350.00,,"=C8-B8","=IF(C8>=B8,""On Track"",""Under"")",,
Digital Products,120.00,,"=C9-B9","=IF(C9>=B9,""On Track"",""Under"")",,
Other,0.00,,"=C10-B10","=IF(C10>=B10,""On Track"",""Under"")",,
TOTAL EXPECTED INCOME,"=SUM(B5:B10)","=SUM(C5:C10)","=C11-B11","=IF(C11>=B11,""On Track"",""Under"")",,
,,,,,,
FIXED EXPENSES (Bills You Must Pay),,,,,,
Expense,Budgeted,Actual,Difference,Due Date,Paid (Y/N),
Rent/Mortgage,1200.00,,,"1st",,,
Utilities,150.00,,,"5th",,,
Internet,75.00,,,"10th",,,
Phone,85.00,,,"15th",,,
Insurance,200.00,,,"1st",,,
Software Subscriptions,92.97,,,"1st",,,
TOTAL FIXED,"=SUM(B15:B20)","=SUM(C15:C20)","=C21-B21",,,
,,,,,,
VARIABLE EXPENSES,,,,,,
Category,Budgeted,Actual,Difference,% of Budget,,
Groceries,400.00,,"=C25-B25","=IF(B25>0,C25/B25*100,0)",,
Transportation,150.00,,"=C26-B26","=IF(B26>0,C26/B26*100,0)",,
Dining Out,100.00,,"=C27-B27","=IF(B27>0,C27/B27*100,0)",,
Entertainment,75.00,,"=C28-B28","=IF(B28>0,C28/B28*100,0)",,
Personal Care,50.00,,"=C29-B29","=IF(B29>0,C29/B29*100,0)",,
Marketing/Advertising,100.00,,"=C30-B30","=IF(B30>0,C30/B30*100,0)",,
Professional Development,50.00,,"=C31-B31","=IF(B31>0,C31/B31*100,0)",,
Miscellaneous,100.00,,"=C32-B32","=IF(B32>0,C32/B32*100,0)",,
TOTAL VARIABLE,"=SUM(B25:B32)","=SUM(C25:C32)","=C33-B33",,,,
,,,,,,
MONTHLY SUMMARY,,,,,,
,Budgeted,Actual,Difference,,,
Total Income,"=B11","=C11","=C37-B37",,,
Total Expenses,"=B21+B33","=C21+C33","=C38-B38",,,
Net Profit/Loss,"=B37-B38","=C37-C38","=C39-B39",,,
Tax Reserve (25%),"=B37*0.25","=C37*0.25",,,,
After-Tax Take Home,"=B39-B40","=C39-C40",,,,
,,,,,,
BUDGET HEALTH CHECK,,,,,,
Metric,Value,Target,Status,,,
Savings Rate %,"=IF(C37>0,C39/C37*100,0)",20,"=IF(B45>=C45,""Good"",""Needs Work"")",,,
Expense Ratio %,"=IF(C37>0,C38/C37*100,0)",70,"=IF(B46<=C46,""Good"",""Needs Work"")",,,
Emergency Fund Months,"=IF(C38>0,'Savings Tracker'!F2/C38,0)",3,"=IF(B47>=C47,""Good"",""Build Up"")",,,
