TAX RESERVE CALCULATOR,,,,,,
"For Freelancers & Self-Employed",,,,,,
,,,,,,
TAX RATE SETTINGS,,,,,,
Description,Rate,,,,,
Federal Estimate,15.3%,,,,,
State Estimate,5.0%,,,,,
Self-Employment Tax,15.3%,,,,,
Safe Harbor Rate (recommended),25%,,,,,
Aggressive Reserve Rate,30%,,,,,
,,,,,,
QUARTERLY TAX RESERVE,,,,,,
Quarter,Gross Income,Deductible Expenses,Taxable Income,Reserve at 25%,Reserve at 30%,Due Date
Q1 (Jan-Mar),"=SUMPRODUCT(('Income Tracker'!D2:D100)*(MONTH('Income Tracker'!B2:B100)>=1)*(MONTH('Income Tracker'!B2:B100)<=3)*(YEAR('Income Tracker'!B2:B100)=YEAR(TODAY())))","=SUMPRODUCT(('Expense Tracker'!D2:D500)*('Expense Tracker'!H2:H500=""Y"")*(MONTH('Expense Tracker'!B2:B500)>=1)*(MONTH('Expense Tracker'!B2:B500)<=3)*(YEAR('Expense Tracker'!B2:B500)=YEAR(TODAY())))","=B14-C14","=D14*0.25","=D14*0.30",April 15
Q2 (Apr-Jun),"=SUMPRODUCT(('Income Tracker'!D2:D100)*(MONTH('Income Tracker'!B2:B100)>=4)*(MONTH('Income Tracker'!B2:B100)<=6)*(YEAR('Income Tracker'!B2:B100)=YEAR(TODAY())))","=SUMPRODUCT(('Expense Tracker'!D2:D500)*('Expense Tracker'!H2:H500=""Y"")*(MONTH('Expense Tracker'!B2:B500)>=4)*(MONTH('Expense Tracker'!B2:B500)<=6)*(YEAR('Expense Tracker'!B2:B500)=YEAR(TODAY())))","=B15-C15","=D15*0.25","=D15*0.30",June 15
Q3 (Jul-Sep),"=SUMPRODUCT(('Income Tracker'!D2:D100)*(MONTH('Income Tracker'!B2:B100)>=7)*(MONTH('Income Tracker'!B2:B100)<=9)*(YEAR('Income Tracker'!B2:B100)=YEAR(TODAY())))","=SUMPRODUCT(('Expense Tracker'!D2:D500)*('Expense Tracker'!H2:H500=""Y"")*(MONTH('Expense Tracker'!B2:B500)>=7)*(MONTH('Expense Tracker'!B2:B500)<=9)*(YEAR('Expense Tracker'!B2:B500)=YEAR(TODAY())))","=B16-C16","=D16*0.25","=D16*0.30",September 15
Q4 (Oct-Dec),"=SUMPRODUCT(('Income Tracker'!D2:D100)*(MONTH('Income Tracker'!B2:B100)>=10)*(MONTH('Income Tracker'!B2:B100)<=12)*(YEAR('Income Tracker'!B2:B100)=YEAR(TODAY())))","=SUMPRODUCT(('Expense Tracker'!D2:D500)*('Expense Tracker'!H2:H500=""Y"")*(MONTH('Expense Tracker'!B2:B500)>=10)*(MONTH('Expense Tracker'!B2:B500)<=12)*(YEAR('Expense Tracker'!B2:B500)=YEAR(TODAY())))","=B17-C17","=D17*0.25","=D17*0.30",January 15 (next year)
ANNUAL TOTAL,"=SUM(B14:B17)","=SUM(C14:C17)","=SUM(D14:D17)","=SUM(E14:E17)","=SUM(F14:F17)",
,,,,,,
TAX SAVINGS ACCOUNT TRACKER,,,,,,
Date,Description,Deposit,Withdrawal,Balance,,
,Opening Balance,,,0.00,,
2026-01-15,Q1 Estimated Payment,,,"=E22+C22-D22",,
2026-03-01,Monthly tax set-aside,500.00,,"=E23+C23-D23",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,
COMMON DEDUCTIONS CHECKLIST,,,,,,
Deduction,Estimated Amount,Claimed (Y/N),Notes,,,
Home Office (Simplified: $5/sqft up to 300sqft),,,,,
Internet (Business %),,,,,,
Phone (Business %),,,,,,
Software & Subscriptions,,,,,,
Professional Development,,,,,,
Health Insurance Premiums,,,,,,
Retirement Contributions (SEP IRA/Solo 401k),,,,,,
Mileage (67 cents/mile for 2025),,,,,,
Office Supplies,,,,,,
Professional Services (accountant/lawyer),,,,,,
