topic,category,demand_score,monetization_score,competition_score,fit_score,priority_score
AI Tools for Small Business,Business,7,8,3,4,16
Prompt Engineering Basics,AI,5,5,6,6,10
Automating Excel with Python,Productivity,7,3,3,6,13
Introduction to Machine Learning,AI,7,5,6,6,12
Business Analytics with AI,Business,9,10,3,4,20
Building Chatbots with LLMs,AI,9,5,3,8,19
Productivity Hacks for Remote Teams,Productivity,5,3,3,4,9
Data Visualization Fundamentals,Data,6,3,6,4,7
Automating Reports with Python,Productivity,7,3,3,6,13
AI for Marketing Campaigns,Business,9,10,3,4,20
